food_item,measure,calories,protein,fats,carbohydrates
aloo spinach carrot paratha,1 serving,176.4,4.4,2.0,30.8
peanut butter sandwich,1 serving,324.0,12.0,10.0,49.5
green apple pear orange smoothie,1 serving,295.0,9.5,0.0,64.75
strawberry blueberry banana smoothie,1 serving,194.125,7.125,1.375,36.125
homemade tomato pasta,1 serving,270.03,12.11,6.3,42.97
aloo millet pulao,1 serving,374.4,8.6,8.0,55.9
aloo millet pulao with ghee,1 serving,371.4,8.6,8.0,55.9
coriander coconut chutney,1 serving,121.875,3.75,5.0,16.125
restaurant kadai vegetable,1 serving,145.0,4.5,5.5,23.0
restaurant paneer tikka masala,1 serving,230.0,11.0,17.0,5.0
chana masala sabji with ghee,1 serving,256.5,12.75,5.0625,12.375
rava dosa,1 serving,137.4166667,3.5,2.291666667,24.25
nirvanaah chocolate sundae,1 serving,437.0,5.99,22.64,54.1
strawberry blueberry smoothie,1 serving,228.0,8.325,1.5,42.125
brinjal sambar,1 serving,195.75,8.0,4.5,30.125
bhindi pulao,1 serving,496.5665236,9.656652361,24.89270386,58.15450644
masala masoor,1 serving,276.17,19.235,4.66,36.925
green peas pulao,1 serving,322.7467811,8.154506438,8.798283262,50.42918455
apple pumpkin smoothie,1 serving,196.125,6.5625,0.5,41.4375
sprouts khichdi,1 serving,398.325,6.275,17.6,53.825
goji berry pear smoothie,1 serving,285.875,2.0625,6.625,53.5625
millet idli,1 serving,82.665,3.3,0.96,14.7
apple pear smoothie,1 serving,245.0,6.5,1.0,49.5
rajma,1 cup,612.0,43.4,1.5,110.4
ghee rajma sabji,1 serving,155.9166667,12.58333333,3.5,18.91666667
murmura chivda,1 cup,113.0,1.2,7.6,9.9
whole wheat pizza crust,1,390.0,12.0,6.0,78.0
firm tofu,1 block,320.0,40.0,20.0,10.0
filter coffee mocha,1 serving,94.2,1.005,1.675,57.86
indian style vegan tofu pizza,1 serving,424.0,25.0,14.5,54.75
caramel popcorn with cashews,0.33 cup,120.0,1.0,6.0,16.0
skinny popcorn,1 cup,40.0,0.533,2.67,4.0
kala chana onion tomato salad,1 serving,75.845,5.6575,0.99,10.7075
high protein soya chunks dosa,1 serving,104.7083333,4.3125,2.291666667,15.27083333
ragada pattice,1 serving,300.2916667,13.95833333,1.875,64.66666667
spring onion,1 stalk,4.8,0.3,0.0,1.1
spring onion tambali,1 serving,62.625,2.5625,3.5,5.625
goji berry apple smoothie,1 serving,222.75,2.125,6.75,34.125
sunfeast 5 grain digestive,2 biscuits,97.0,7.7,4.4,13.3
vegan blueberry no bake cheesecake,1 serving,330.7616667,2.776666667,5.388333333,37.52333333
see's candies assorted,2 pieces,180.0,2.0,11.0,23.0
